epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6828,2.05186,4.59471,1.06032,0.00388,0.25474,0.08294,0.04564,1.59109,4.7438,1.01176,0.00010829,0.00010829,0.00010829
2,100.381,1.76831,2.94498,0.91608,0.00257,0.24758,0.17516,0.12371,1.45647,4.47982,0.99889,0.000220457,0.000220457,0.000220457
3,146.438,1.55396,2.18673,0.8851,0.0029,0.33284,0.2141,0.16402,1.30502,4.21643,0.96176,0.000328005,0.000328005,0.000328005
4,191.536,1.42887,1.90315,0.9258,0.00932,0.43922,0.22283,0.18263,1.24883,3.95677,0.94995,0.000430936,0.000430936,0.000430936
5,236.92,1.31736,1.61287,0.89045,0.01713,0.74303,0.58062,0.41409,1.24109,3.62396,1.02625,0.000529248,0.000529248,0.000529248
6,281.766,1.41068,1.52655,0.91691,0.01951,0.87127,0.62349,0.42578,1.13806,3.31361,1.00482,0.000622942,0.000622942,0.000622942
7,327.248,1.40932,1.45959,0.90548,0.97643,0.12292,0.63078,0.44394,1.23719,3.04355,1.0622,0.000712018,0.000712018,0.000712018
8,372.664,1.34489,1.35725,0.89316,0.94123,0.37586,0.69668,0.4823,1.16659,2.6946,1.09365,0.000717546,0.000717546,0.000717546
9,417.503,1.28158,1.335,0.92143,0.74857,0.54784,0.69751,0.49594,1.16243,2.3635,1.06574,0.000701053,0.000701053,0.000701053
10,462.689,1.29393,1.21472,0.88859,0.71138,0.68326,0.74458,0.53122,1.13573,2.05785,1.07315,0.000684559,0.000684559,0.000684559
11,507.587,1.22389,1.24884,0.88246,0.64553,0.73926,0.74004,0.55099,1.04506,1.73394,1.03175,0.000668066,0.000668066,0.000668066
12,552.901,1.2022,1.16298,0.86959,0.70958,0.73607,0.73155,0.54335,1.0474,1.5655,1.00085,0.000651573,0.000651573,0.000651573
13,599.064,1.15253,1.15601,0.87823,0.68391,0.81061,0.72895,0.51595,1.08646,1.57922,0.99774,0.000635079,0.000635079,0.000635079
14,643.954,1.18635,1.11314,0.88677,0.72445,0.73014,0.74841,0.55369,1.06452,1.56773,0.99947,0.000618586,0.000618586,0.000618586
15,688.865,1.10773,1.06413,0.86769,0.7396,0.80246,0.75697,0.56863,1.01887,1.42472,0.97922,0.000602092,0.000602092,0.000602092
16,733.975,1.18515,1.07351,0.85717,0.84654,0.80467,0.85002,0.63082,0.98754,1.34865,0.98792,0.000585599,0.000585599,0.000585599
17,779,1.13041,1.02626,0.86408,0.87245,0.74913,0.85161,0.64405,0.97508,1.33445,0.97166,0.000569106,0.000569106,0.000569106
18,824.741,1.10945,1.06237,0.86066,0.82966,0.79473,0.83593,0.61105,0.92237,1.23631,0.94573,0.000552612,0.000552612,0.000552612
19,869.216,1.10899,0.98013,0.84216,0.88516,0.78047,0.85148,0.6192,0.99693,1.26616,0.93166,0.000536119,0.000536119,0.000536119
20,914.437,1.08742,0.99913,0.86223,0.79273,0.8376,0.82483,0.62551,0.91479,1.26859,0.9103,0.000519625,0.000519625,0.000519625
21,959.443,1.05497,0.9422,0.86111,0.90389,0.79441,0.87516,0.66508,0.93516,1.24206,0.91988,0.000503132,0.000503132,0.000503132
22,1003.92,1.01571,0.93565,0.84705,0.90749,0.86125,0.87406,0.69412,0.86746,1.18669,0.90363,0.000486639,0.000486639,0.000486639
23,1048.95,1.0071,0.89443,0.85242,0.89608,0.84851,0.87629,0.67211,0.89327,1.22036,0.90505,0.000470145,0.000470145,0.000470145
24,1093.98,1.01753,0.89506,0.8405,0.88902,0.87242,0.88444,0.65166,0.9067,1.19544,0.91303,0.000453652,0.000453652,0.000453652
25,1139.39,1.02643,0.87419,0.84723,0.93681,0.86955,0.87921,0.65893,0.91489,1.15336,0.92383,0.000437158,0.000437158,0.000437158
26,1184.46,0.97718,0.84073,0.84927,0.87402,0.87417,0.8867,0.68974,0.87002,1.17532,0.90804,0.000420665,0.000420665,0.000420665
27,1231.32,0.98161,0.85133,0.85056,0.86213,0.8433,0.8797,0.67306,0.92027,1.22163,0.92214,0.000404172,0.000404172,0.000404172
28,1276.06,0.97983,0.87349,0.8548,0.88673,0.84516,0.87067,0.68598,0.86007,1.1449,0.92161,0.000387678,0.000387678,0.000387678
29,1323.74,0.99342,0.83214,0.84265,0.90395,0.82375,0.87302,0.68768,0.8867,1.15634,0.93075,0.000371185,0.000371185,0.000371185
