epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.1295,2.01952,4.66664,1.02519,0.00204,0.19481,0.04813,0.025,1.67195,4.75021,1.06496,9.163e-05,9.163e-05,9.163e-05
2,80.9128,1.74844,3.09046,0.92446,0.00277,0.24787,0.14311,0.12967,1.34977,4.47715,1.03427,0.000187797,0.000187797,0.000187797
3,123.637,1.64888,2.35468,0.89835,0.00369,0.29454,0.13933,0.13045,1.20434,4.26862,1.03135,0.000280005,0.000280005,0.000280005
4,165.565,1.53135,1.97265,0.90327,0.01344,0.35167,0.22277,0.1608,1.28525,3.99346,1.05387,0.000368254,0.000368254,0.000368254
5,207.929,1.43793,1.69697,0.90514,0.01499,0.45861,0.2171,0.15049,1.15619,3.82165,1.00733,0.000452546,0.000452546,0.000452546
6,250.945,1.3838,1.55116,0.90199,0.01724,0.6638,0.39521,0.29564,1.25424,3.52113,1.01722,0.000532878,0.000532878,0.000532878
7,289.591,1.44765,1.46197,0.87405,0.01899,0.65704,0.47204,0.35469,1.17065,3.28997,1.00638,0.000609253,0.000609253,0.000609253
8,327.83,1.30236,1.3556,0.88447,0.95395,0.2146,0.53795,0.37133,1.2941,3.0212,1.1085,0.000681669,0.000681669,0.000681669
9,367.389,1.31745,1.31781,0.89359,0.90998,0.30069,0.55167,0.38516,1.31115,2.6108,1.11729,0.000701053,0.000701053,0.000701053
10,406.505,1.28218,1.24326,0.88131,0.69973,0.48398,0.6101,0.42749,1.13457,2.33466,1.03524,0.000684559,0.000684559,0.000684559
11,445.777,1.25799,1.24085,0.89003,0.71929,0.44068,0.64494,0.44669,1.28768,2.15513,1.05433,0.000668066,0.000668066,0.000668066
12,486.282,1.25129,1.18241,0.88065,0.71748,0.6312,0.72869,0.50336,1.13942,1.85409,1.03252,0.000651573,0.000651573,0.000651573
13,524.397,1.26151,1.16971,0.86766,0.62252,0.62425,0.73789,0.53457,1.04093,1.66342,0.95648,0.000635079,0.000635079,0.000635079
14,562.296,1.1851,1.17574,0.87879,0.67596,0.75306,0.72543,0.50121,1.08926,1.597,1.03589,0.000618586,0.000618586,0.000618586
15,601.428,1.17306,1.06329,0.87149,0.68423,0.71064,0.72312,0.50247,1.07606,1.46109,1.01652,0.000602092,0.000602092,0.000602092
16,639.677,1.1557,1.01726,0.84709,0.77488,0.68048,0.74988,0.53298,0.97056,1.40698,1.00039,0.000585599,0.000585599,0.000585599
17,679.503,1.10366,1.07796,0.87742,0.8171,0.69983,0.76385,0.54937,1.01558,1.4784,0.99328,0.000569106,0.000569106,0.000569106
18,718.602,1.1206,1.02324,0.86946,0.8585,0.69033,0.75148,0.54643,0.98655,1.39209,0.9557,0.000552612,0.000552612,0.000552612
19,758.303,1.08048,0.99707,0.8619,0.79375,0.75726,0.78471,0.57406,0.9519,1.39511,0.98085,0.000536119,0.000536119,0.000536119
20,796.982,1.10946,0.99683,0.85828,0.8098,0.79383,0.80119,0.55707,1.01934,1.34659,0.94973,0.000519625,0.000519625,0.000519625
21,835.624,1.10969,0.99511,0.86119,0.79436,0.72016,0.79027,0.58046,0.94382,1.34125,0.96289,0.000503132,0.000503132,0.000503132
22,876.914,1.0455,0.95097,0.86261,0.8116,0.72698,0.8105,0.56686,1.01316,1.39005,0.95284,0.000486639,0.000486639,0.000486639
23,917.931,1.04565,0.93476,0.86174,0.89242,0.68637,0.80214,0.58479,0.92842,1.35786,0.97497,0.000470145,0.000470145,0.000470145
24,959.795,1.0586,0.90599,0.85066,0.86579,0.69518,0.7756,0.5605,0.97965,1.36595,0.99096,0.000453652,0.000453652,0.000453652
25,997.805,1.04394,0.91466,0.84376,0.83644,0.71353,0.775,0.54129,1.02431,1.39262,0.99682,0.000437158,0.000437158,0.000437158
26,1037.28,0.94933,0.88275,0.85659,0.7528,0.74982,0.78673,0.56795,0.97213,1.28344,0.96985,0.000420665,0.000420665,0.000420665
27,1075.97,0.96756,0.86696,0.84522,0.8191,0.70538,0.79049,0.55749,0.94111,1.26897,0.94729,0.000404172,0.000404172,0.000404172
