epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.051,1.72612,3.46168,1.65432,0.00892,0.35749,0.11158,0.05424,1.39307,3.80329,1.38164,0.000294583,0.000294583,0.000294583
2,151.216,1.43789,2.60468,1.47579,0.84282,0.33527,0.50279,0.29919,1.33226,2.5817,1.43835,0.000585751,0.000585751,0.000585751
3,225.896,1.37221,2.23629,1.41973,0.69966,0.38293,0.50906,0.3468,1.30719,2.16708,1.31399,0.00086492,0.00086492,0.00086492
4,304.245,1.20446,2.03861,1.2924,0.67149,0.50847,0.6475,0.34719,1.44751,2.3957,1.40761,0.000855005,0.000855005,0.000855005
5,385.131,1.11479,1.88522,1.23986,0.68261,0.63362,0.69128,0.42766,1.21316,1.80914,1.34409,0.000837007,0.000837007,0.000837007
6,466.017,1.04056,1.74675,1.17141,0.51933,0.75747,0.76185,0.47885,1.01569,1.75901,1.15563,0.000819009,0.000819009,0.000819009
7,548.987,1.00126,1.65995,1.14555,0.70165,0.78013,0.7817,0.54182,0.87519,1.21825,1.04642,0.000801011,0.000801011,0.000801011
8,630.48,0.97021,1.59694,1.12971,0.73985,0.75428,0.82523,0.56602,0.8962,1.27046,1.04429,0.000783013,0.000783013,0.000783013
9,711.884,0.94508,1.50701,1.10335,0.86245,0.7657,0.82326,0.58804,0.83931,1.08867,1.00954,0.000765014,0.000765014,0.000765014
10,790.353,0.94217,1.485,1.09559,0.85833,0.76859,0.84486,0.60306,0.7874,1.05094,1.00153,0.000747016,0.000747016,0.000747016
11,869.92,0.91002,1.44854,1.10963,0.66474,0.81719,0.81137,0.59199,0.83217,1.21465,1.03936,0.000729018,0.000729018,0.000729018
12,950.769,0.89626,1.41966,1.09431,0.81975,0.7692,0.82223,0.61542,0.73183,1.09144,0.9805,0.00071102,0.00071102,0.00071102
13,1031.59,0.85432,1.33003,1.07055,0.84985,0.83888,0.87405,0.63407,0.74308,0.93311,0.98828,0.000693022,0.000693022,0.000693022
14,1112.29,0.87098,1.33869,1.07032,0.76946,0.80264,0.81263,0.61484,0.71332,1.18945,0.97783,0.000675023,0.000675023,0.000675023
15,1193.19,0.83666,1.30651,1.0574,0.75362,0.79137,0.85375,0.6093,0.75368,1.14149,0.98295,0.000657025,0.000657025,0.000657025
16,1275.11,0.84548,1.27386,1.05087,0.81872,0.84717,0.88637,0.63058,0.75886,0.94726,0.99063,0.000639027,0.000639027,0.000639027
17,1356.12,0.84197,1.28789,1.05997,0.83932,0.81149,0.8783,0.63321,0.73116,0.87602,0.96983,0.000621029,0.000621029,0.000621029
18,1436.86,0.83526,1.23832,1.03751,0.85395,0.81646,0.8752,0.64406,0.68821,0.90842,0.96243,0.000603031,0.000603031,0.000603031
19,1517.85,0.78651,1.17565,1.02716,0.71613,0.83992,0.85378,0.63334,0.71331,0.9602,0.97062,0.000585032,0.000585032,0.000585032
20,1598.49,0.82855,1.1935,1.03593,0.6946,0.86604,0.82539,0.59195,0.75964,0.93132,0.98197,0.000567034,0.000567034,0.000567034
21,1679.74,0.78636,1.15971,1.02634,0.84978,0.8128,0.88124,0.65894,0.72076,0.80632,0.9667,0.000549036,0.000549036,0.000549036
22,1760.17,0.76728,1.12623,1.02032,0.82507,0.77799,0.8713,0.65068,0.72898,0.81635,0.98684,0.000531038,0.000531038,0.000531038
23,1840.48,0.76122,1.11153,1.01356,0.80818,0.80244,0.86699,0.63159,0.69578,0.85948,0.95558,0.00051304,0.00051304,0.00051304
24,1921.07,0.76819,1.10036,1.00818,0.83845,0.84039,0.9077,0.67206,0.68026,0.79515,0.95361,0.000495041,0.000495041,0.000495041
25,2001.89,0.76879,1.11557,1.01747,0.8705,0.83355,0.90173,0.67355,0.69826,0.80004,0.96455,0.000477043,0.000477043,0.000477043
26,2082.97,0.79198,1.09096,1.0136,0.89035,0.87787,0.92465,0.69397,0.6632,0.74096,0.94276,0.000459045,0.000459045,0.000459045
27,2163.43,0.76199,1.02973,0.99354,0.86146,0.8234,0.91962,0.68315,0.66851,0.75056,0.94373,0.000441047,0.000441047,0.000441047
28,2242.53,0.75342,1.05551,1.00288,0.85109,0.82508,0.87866,0.66683,0.65855,0.78313,0.94661,0.000423049,0.000423049,0.000423049
29,2320.69,0.73556,1.01613,0.99039,0.88613,0.81877,0.89998,0.68067,0.68763,0.75662,0.95417,0.00040505,0.00040505,0.00040505
30,2399.17,0.74809,1.00907,0.99212,0.85396,0.87528,0.91591,0.68942,0.68992,0.71787,0.94843,0.000387052,0.000387052,0.000387052
31,2477.52,0.70558,0.97239,0.98429,0.82455,0.84112,0.89771,0.68182,0.65629,0.75511,0.94424,0.000369054,0.000369054,0.000369054
32,2555.91,0.71785,0.98489,0.99198,0.84092,0.9017,0.92012,0.68974,0.65183,0.72865,0.94231,0.000351056,0.000351056,0.000351056
33,2635.21,0.71334,0.97247,0.98702,0.88009,0.82909,0.91415,0.67888,0.6579,0.71768,0.93361,0.000333058,0.000333058,0.000333058
34,2713.1,0.71887,0.98469,0.9807,0.90218,0.8437,0.90578,0.67643,0.67916,0.75786,0.94839,0.000315059,0.000315059,0.000315059
35,2791.2,0.70196,0.95442,0.99133,0.85341,0.90883,0.91935,0.69426,0.68514,0.69384,0.95135,0.000297061,0.000297061,0.000297061
36,2869.97,0.67868,0.93336,0.96704,0.88838,0.84316,0.91794,0.6937,0.65458,0.68122,0.93746,0.000279063,0.000279063,0.000279063
37,2951,0.6947,0.9068,0.97879,0.87743,0.81937,0.88758,0.67137,0.68182,0.80365,0.94974,0.000261065,0.000261065,0.000261065
38,3026.46,0.68992,0.92882,0.97993,0.83887,0.87752,0.89635,0.66871,0.67414,0.70149,0.9488,0.000243067,0.000243067,0.000243067
39,3104.6,0.69403,0.92885,0.98309,0.88445,0.85421,0.91796,0.70051,0.63688,0.67593,0.93639,0.000225068,0.000225068,0.000225068
40,3180.73,0.65114,0.88094,0.96216,0.85084,0.89444,0.92339,0.68962,0.6492,0.67379,0.94353,0.00020707,0.00020707,0.00020707
41,3255.49,0.67624,0.91219,0.96496,0.89684,0.86567,0.9215,0.68811,0.6866,0.71211,0.96877,0.000189072,0.000189072,0.000189072
42,3330.36,0.66244,0.83414,0.93935,0.88285,0.84824,0.91398,0.6811,0.63674,0.68207,0.93546,0.000171074,0.000171074,0.000171074
43,3405.13,0.64866,0.82473,0.94775,0.85423,0.89319,0.91796,0.68718,0.64393,0.66285,0.93731,0.000153076,0.000153076,0.000153076
44,3479.89,0.62965,0.80183,0.93875,0.86682,0.85734,0.91112,0.69764,0.62211,0.67446,0.92773,0.000135077,0.000135077,0.000135077
45,3555.74,0.62709,0.79327,0.93034,0.87992,0.85337,0.9071,0.69127,0.64225,0.69589,0.93363,0.000117079,0.000117079,0.000117079
46,3633.45,0.61502,0.7527,0.92056,0.87802,0.87984,0.91444,0.69492,0.62494,0.66138,0.93091,9.9081e-05,9.9081e-05,9.9081e-05
